job,start_time,end_time,elapse,state,ip
mapping,58:54.9,59:15.7,20,COMPLETE,14.12.24.104
mapping,58:54.9,59:15.2,20,COMPLETE,14.12.16.103
mapping,58:55.3,59:13.8,18,COMPLETE,14.12.60.221
mapping,58:50.6,59:16.4,25,COMPLETE,14.12.59.69
mapping,58:51.1,59:18.5,27,COMPLETE,14.12.19.7
mapping,58:51.8,59:18.1,26,COMPLETE,14.12.49.149
mapping,58:52.1,59:16.5,24,COMPLETE,14.12.51.122
mapping,58:52.1,59:16.8,24,COMPLETE,14.12.59.151
mapping,58:52.8,59:16.6,23,COMPLETE,14.12.50.201
mapping,58:52.9,59:16.9,24,COMPLETE,14.12.57.226
mapping,58:53.6,59:17.0,23,COMPLETE,14.12.23.56
mapping,58:53.5,59:17.4,23,COMPLETE,14.12.60.38
mapping,58:54.0,59:17.2,23,COMPLETE,14.12.23.245
mapping,58:54.5,59:17.0,22,COMPLETE,14.12.59.106
mapping,58:54.5,59:17.6,23,COMPLETE,14.12.19.124
mapping,58:54.6,59:18.3,23,COMPLETE,14.12.17.121
mapping,58:54.9,59:17.3,22,COMPLETE,14.12.31.69
mapping,58:55.0,59:17.9,22,COMPLETE,14.12.62.252
mapping,58:55.7,59:17.8,22,COMPLETE,14.12.60.200
mapping,58:56.2,59:18.5,22,COMPLETE,14.12.17.34
mapping,58:56.4,59:18.5,22,COMPLETE,14.12.53.135
mapping,58:56.5,59:18.5,22,COMPLETE,14.12.59.225
mapping,58:56.4,59:17.4,20,COMPLETE,14.12.54.254
mapping,58:52.7,59:19.9,27,COMPLETE,14.12.62.147
mapping,58:53.3,59:19.4,26,COMPLETE,14.12.24.146
mapping,58:54.2,59:20.0,25,COMPLETE,14.12.23.69
mapping,58:54.5,59:20.4,25,COMPLETE,14.12.52.172
mapping,58:54.4,59:20.6,26,COMPLETE,14.12.52.217
mapping,58:54.9,59:19.2,24,COMPLETE,14.12.63.20
mapping,58:54.7,59:19.1,24,COMPLETE,14.12.54.178
mapping,58:55.5,59:18.8,23,COMPLETE,14.12.23.212
mapping,58:56.1,59:19.0,22,COMPLETE,14.12.50.48
mapping,58:56.1,59:19.4,23,COMPLETE,14.12.52.86
mapping,58:56.0,59:18.6,22,COMPLETE,14.12.62.57
mapping,58:56.2,59:19.8,23,COMPLETE,14.12.26.250
mapping,58:56.4,59:20.4,24,COMPLETE,14.12.56.86
mapping,58:56.4,59:20.3,23,COMPLETE,14.12.49.102
mapping,58:56.7,59:20.7,24,COMPLETE,14.12.50.61
mapping,58:56.8,59:19.6,22,COMPLETE,14.12.30.72
mapping,58:57.0,59:19.0,22,COMPLETE,14.12.27.165
mapping,58:57.1,59:19.4,22,COMPLETE,14.12.62.136
mapping,58:54.5,59:21.8,27,COMPLETE,14.12.62.107
mapping,58:55.8,59:22.8,26,COMPLETE,14.12.29.156
mapping,58:55.8,59:21.4,25,COMPLETE,14.12.31.74
mapping,58:57.0,59:22.3,25,COMPLETE,14.12.58.132
mapping,58:57.0,59:21.3,24,COMPLETE,14.12.57.26
mapping,58:56.8,59:21.8,25,COMPLETE,14.12.51.56
mapping,58:57.1,59:23.0,25,COMPLETE,14.12.50.133
mapping,58:21.5,59:26.0,64,COMPLETE,14.12.23.193
mapping,58:21.5,59:25.7,64,COMPLETE,14.12.21.114
mapping,58:21.5,59:27.2,65,COMPLETE,14.12.29.56
mapping,58:21.6,59:31.5,69,COMPLETE,14.12.31.84
mapping,58:21.5,59:31.8,70,COMPLETE,14.12.20.70
mapping,58:21.5,59:32.4,70,COMPLETE,14.12.58.146
mapping,58:21.6,59:32.5,70,COMPLETE,14.12.56.41
mapping,59:01.0,59:33.1,32,COMPLETE,14.12.57.32
mapping,58:21.5,59:34.4,72,COMPLETE,14.12.22.203
mapping,58:21.5,59:34.2,72,COMPLETE,14.12.23.88
mapping,58:21.6,59:33.8,72,COMPLETE,14.12.22.60
mapping,58:59.2,59:34.7,35,COMPLETE,14.12.49.186
mapping,58:59.5,59:35.3,35,COMPLETE,14.12.63.45
mapping,59:00.1,59:34.8,34,COMPLETE,14.12.48.59
mapping,59:00.3,59:34.0,33,COMPLETE,14.12.56.136
