job,start_time,end_time,elapse,state,ip
vcf,07:31.3,09:28.2,116,COMPLETE,14.12.57.70
vcf,07:31.4,09:27.5,116,COMPLETE,14.12.50.133
vcf,07:31.6,09:29.3,117,COMPLETE,14.12.22.4
vcf,07:31.7,09:27.6,115,COMPLETE,14.12.17.231
vcf,07:31.8,09:28.3,116,COMPLETE,14.12.22.139
vcf,07:31.6,09:30.2,118,COMPLETE,14.12.28.73
vcf,07:31.5,09:29.7,118,COMPLETE,14.12.63.119
vcf,07:31.4,09:33.7,122,COMPLETE,14.12.52.86
vcf,07:31.6,09:32.1,120,COMPLETE,14.12.23.187
vcf,07:31.7,09:34.3,122,COMPLETE,14.12.26.6
vcf,07:31.7,09:35.1,123,COMPLETE,14.12.21.21
vcf,07:31.5,09:34.9,123,COMPLETE,14.12.18.216
vcf,07:31.3,09:37.5,126,COMPLETE,14.12.30.139
vcf,07:31.7,09:37.3,125,COMPLETE,14.12.19.43
vcf,07:31.8,09:37.3,125,COMPLETE,14.12.17.4
vcf,07:31.7,09:39.4,127,COMPLETE,14.12.19.43
vcf,07:31.5,09:39.0,127,COMPLETE,14.12.18.216
vcf,07:31.6,09:42.3,130,COMPLETE,14.12.18.99
vcf,07:31.6,09:41.9,130,COMPLETE,14.12.30.207
vcf,07:31.7,09:45.0,133,COMPLETE,14.12.26.147
vcf,07:31.3,09:44.9,133,COMPLETE,14.12.57.190
vcf,07:31.4,09:45.3,133,COMPLETE,14.12.16.198
vcf,07:31.4,09:47.0,135,COMPLETE,14.12.30.208
vcf,07:31.3,09:45.7,134,COMPLETE,14.12.60.36
vcf,07:31.7,09:47.6,135,COMPLETE,14.12.20.125
vcf,07:31.5,09:46.7,135,COMPLETE,14.12.16.198
vcf,07:31.6,09:47.1,135,COMPLETE,14.12.30.159
vcf,07:31.6,09:48.8,137,COMPLETE,14.12.22.183
vcf,07:31.5,09:50.4,138,COMPLETE,14.12.29.253
vcf,07:31.7,09:51.7,140,COMPLETE,14.12.22.139
vcf,07:31.4,09:54.6,143,COMPLETE,14.12.16.49
vcf,07:31.2,10:02.3,151,COMPLETE,14.12.21.148
vcf,07:31.2,10:04.1,152,COMPLETE,14.12.20.226
vcf,07:31.3,10:04.3,152,COMPLETE,14.12.17.121
vcf,07:31.7,10:04.3,152,COMPLETE,14.12.30.87
vcf,07:31.5,10:04.0,152,COMPLETE,14.12.31.184
vcf,07:31.5,10:06.7,155,COMPLETE,14.12.16.140
vcf,07:31.7,10:06.4,154,COMPLETE,14.12.17.63
vcf,07:31.5,10:09.5,158,COMPLETE,14.12.48.183
vcf,07:31.4,10:10.4,158,COMPLETE,14.12.22.156
vcf,07:31.3,10:11.7,160,COMPLETE,14.12.23.158
vcf,07:31.2,10:13.4,162,COMPLETE,14.12.51.118
vcf,07:31.4,10:14.3,162,COMPLETE,14.12.49.149
vcf,07:31.3,10:13.0,161,COMPLETE,14.12.22.252
vcf,07:31.5,10:17.0,165,COMPLETE,14.12.16.188
vcf,07:31.3,10:20.1,168,COMPLETE,14.12.49.210
vcf,07:31.4,10:23.4,172,COMPLETE,14.12.20.200
vcf,07:31.4,10:22.8,171,COMPLETE,14.12.29.14
vcf,07:31.6,10:22.0,170,COMPLETE,14.12.31.69
vcf,07:31.4,10:21.8,170,COMPLETE,14.12.22.51
vcf,07:31.6,10:22.1,170,COMPLETE,14.12.25.24
vcf,07:31.7,10:24.6,172,COMPLETE,14.12.31.194
vcf,07:31.4,10:26.0,174,COMPLETE,14.12.30.37
vcf,07:31.4,10:25.5,174,COMPLETE,14.12.63.213
vcf,07:31.3,10:27.1,175,COMPLETE,14.12.24.146
vcf,07:31.1,10:26.6,175,COMPLETE,14.12.54.118
vcf,07:31.4,10:29.0,177,COMPLETE,14.12.60.159
vcf,07:31.5,10:28.8,177,COMPLETE,14.12.60.86
vcf,08:59.0,10:30.2,91,COMPLETE,14.12.60.38
vcf,09:04.9,10:29.7,84,COMPLETE,14.12.24.104
vcf,07:31.4,10:30.9,179,COMPLETE,14.12.18.169
vcf,07:31.3,10:30.9,179,COMPLETE,14.12.57.17
vcf,09:01.1,10:31.6,90,COMPLETE,14.12.58.132
vcf,09:01.8,10:31.0,89,COMPLETE,14.12.17.173
vcf,09:01.8,10:31.8,89,COMPLETE,14.12.58.116
vcf,09:01.9,10:31.2,89,COMPLETE,14.12.62.252
vcf,09:03.2,10:31.8,88,COMPLETE,14.12.21.114
vcf,09:03.4,10:31.3,87,COMPLETE,14.12.60.109
vcf,09:04.5,10:30.8,86,COMPLETE,14.12.31.74
vcf,09:04.8,10:31.9,87,COMPLETE,14.12.59.106
vcf,09:04.9,10:32.5,87,COMPLETE,14.12.58.245
vcf,09:07.0,10:31.6,84,COMPLETE,14.12.22.53
vcf,07:31.3,10:33.8,182,COMPLETE,14.12.63.45
vcf,07:31.5,10:33.9,182,COMPLETE,14.12.56.52
vcf,07:31.3,10:33.1,181,COMPLETE,14.12.26.250
vcf,07:31.4,10:33.4,181,COMPLETE,14.12.56.103
vcf,09:01.7,10:33.9,92,COMPLETE,14.12.22.60
vcf,09:02.2,10:33.7,91,COMPLETE,14.12.61.144
vcf,09:03.6,10:35.1,91,COMPLETE,14.12.51.52
vcf,09:04.0,10:33.1,89,COMPLETE,14.12.26.155
vcf,09:05.2,10:35.1,89,COMPLETE,14.12.21.117
vcf,09:06.2,10:34.5,88,COMPLETE,14.12.53.149
vcf,09:06.4,10:34.4,87,COMPLETE,14.12.27.165
vcf,09:07.0,10:34.5,87,COMPLETE,14.12.53.84
vcf,09:04.5,10:36.5,91,COMPLETE,14.12.51.56
vcf,09:05.3,10:35.9,90,COMPLETE,14.12.20.70
vcf,09:06.5,10:36.7,90,COMPLETE,14.12.50.48
vcf,09:06.5,10:35.5,89,COMPLETE,14.12.49.82
vcf,09:06.8,10:36.2,89,COMPLETE,14.12.27.120
vcf,07:31.1,10:38.3,187,COMPLETE,14.12.27.105
vcf,07:31.4,10:37.3,185,COMPLETE,14.12.62.134
vcf,09:02.0,10:39.4,97,COMPLETE,14.12.26.211
vcf,09:05.0,10:39.6,94,COMPLETE,14.12.60.133
vcf,07:31.4,10:40.8,189,COMPLETE,14.12.27.33
vcf,07:31.3,10:40.1,188,COMPLETE,14.12.24.160
vcf,09:00.4,10:39.8,99,COMPLETE,14.12.28.67
vcf,09:02.2,10:39.9,97,COMPLETE,14.12.19.193
vcf,09:03.2,10:41.6,98,COMPLETE,14.12.51.122
vcf,09:04.1,10:41.6,97,COMPLETE,14.12.30.160
vcf,09:05.7,10:41.4,95,COMPLETE,14.12.23.193
vcf,07:31.4,10:43.5,192,COMPLETE,14.12.56.86
vcf,09:01.3,10:42.5,101,COMPLETE,14.12.23.212
vcf,09:03.0,10:43.4,100,COMPLETE,14.12.26.216
vcf,09:03.1,10:42.7,99,COMPLETE,14.12.54.65
vcf,09:03.3,10:44.0,100,COMPLETE,14.12.21.243
vcf,09:03.3,10:42.7,99,COMPLETE,14.12.31.84
vcf,09:03.5,10:43.6,100,COMPLETE,14.12.58.106
